Date,Open,High,Low,Close,Volume
2021-07-16,0.0,0.0,0.0,42.59,0.0
2021-07-19,45.78,45.78,45.78,45.78,500.0
2021-07-23,48.49,49.21,48.49,49.21,2500.0
2021-07-26,52.9,52.9,52.9,52.9,2500.0
2021-07-27,49.15,50.05,49.15,50.05,1000.0
2021-08-03,53.25,53.8,53.25,53.8,1500.0
2021-08-04,57.83,57.83,57.83,57.83,8000.0
2021-08-09,54.0,60.0,54.0,60.0,2500.0
2021-08-10,60.3,60.5,60.3,60.5,2000.0
2021-08-11,56.0,61.0,56.0,57.36,10000.0
2021-08-13,58.2,60.0,58.2,58.56,10000.0
2021-08-16,61.9,61.9,61.9,61.9,500.0
2021-08-20,57.26,61.9,57.26,57.26,5500.0
2021-08-31,59.99,59.99,59.99,59.99,2000.0
2021-09-20,0.0,0.0,0.0,59.94,0.0
2021-09-23,0.0,0.0,0.0,58.24,0.0
2021-09-24,0.0,58.24,58.24,58.24,2500.0
2021-10-01,0.0,0.0,0.0,58.0,0.0
2021-10-05,0.0,0.0,0.0,56.84,0.0
2021-10-13,0.0,0.0,0.0,56.77,0.0
2021-10-25,0.0,0.0,0.0,56.77,0.0
2021-10-26,53.0,53.0,53.0,53.0,88000.0
2021-10-29,0.0,0.0,0.0,53.0,0.0
2021-11-05,55.0,55.25,55.0,55.13,2000.0
2021-11-15,55.2,55.6,55.2,55.6,2000.0
2021-11-19,55.9,55.9,55.9,55.9,3000.0
2021-11-22,56.1,56.25,56.1,56.25,3000.0
2021-11-26,56.5,57.5,56.5,56.93,3500.0
2021-11-30,57.2,57.35,57.2,57.35,3500.0
2021-12-02,0.0,0.0,0.0,57.31,0.0
2021-12-24,0.0,0.0,0.0,57.17,0.0
2021-12-31,57.0,61.0,57.0,57.17,9500.0
2022-01-04,58.0,58.0,58.0,58.0,6000.0
2022-01-07,0.0,0.0,0.0,57.95,0.0
2022-03-09,53.65,53.65,53.65,53.65,500.0
2022-03-10,49.63,55.75,49.63,55.75,1000.0
2022-03-11,59.75,59.75,59.75,59.75,500.0
2022-03-17,0.0,0.0,0.0,58.53,0.0
2022-03-18,0.0,0.0,0.0,56.9,0.0
2022-03-29,56.9,56.9,52.64,52.64,4500.0
2022-03-30,48.7,48.7,48.7,48.7,500.0
2022-05-10,45.05,45.05,45.05,45.05,500.0
2022-06-02,41.68,41.68,41.68,41.68,1000.0
2022-06-06,38.56,38.56,38.56,38.56,1000.0
2022-06-17,41.45,41.45,41.45,41.45,2500.0
2022-06-22,38.5,38.5,38.49,38.49,3500.0
2022-07-05,38.5,38.5,38.05,38.05,5500.0
2022-07-19,37.5,37.5,37.5,37.5,2500.0
2022-08-19,40.3,40.31,40.3,40.31,1000.0
2022-08-26,40.0,40.0,40.0,40.0,500.0
2022-09-19,40.0,40.0,39.99,40.0,3500.0
2022-09-20,40.0,40.0,40.0,40.0,5500.0
2022-09-21,40.0,40.0,39.0,39.0,6000.0
2022-10-12,40.8,40.8,40.0,40.0,1500.0
2022-10-14,42.99,42.99,40.0,40.0,5000.0
2022-10-18,43.0,43.0,43.0,43.0,500.0
2022-10-25,45.1,45.1,42.0,45.1,1500.0
2022-10-27,47.0,48.48,47.0,47.74,4000.0
2022-10-28,47.1,51.32,47.1,48.16,4000.0
2022-11-02,50.0,51.0,50.0,51.0,3500.0
2022-11-04,50.0,52.99,50.0,52.99,1000.0
2022-11-07,49.03,49.03,49.03,49.03,500.0
2022-11-08,46.01,52.65,46.01,46.5,2500.0
2022-11-10,43.54,49.98,43.54,49.98,4000.0
2022-11-11,53.72,53.72,53.5,53.72,1500.0
2022-11-14,49.75,54.0,49.75,54.0,1500.0
